Assets,Return,Volatility
7 10 31 38 ,7.6225,10.5763
7 10 31 43 ,7.7675,10.1649
7 10 31 44 ,7.67,10.3498
7 10 32 33 ,7.6075,10.9544
7 10 32 34 ,7.785,10.6896
7 10 32 35 ,7.63,10.6541
7 10 32 36 ,7.345,10.2178
7 10 32 38 ,7.6375,10.4782
7 10 32 43 ,7.7825,10.1082
7 10 32 44 ,7.685,10.3148
7 10 33 34 ,7.34,10.1448
7 10 33 35 ,7.185,10.0583
7 10 33 51 ,7.765,10.375
7 10 33 52 ,7.735,10.3245
7 10 34 35 ,7.3625,10.029
7 10 34 51 ,7.9425,10.2564
7 10 34 52 ,7.9125,10.2493
7 10 35 51 ,7.7875,10.2332
7 10 35 52 ,7.7575,10.3315
7 11 18 30 ,7.9525,10.1976
7 11 22 23 ,7.0025,10.2439
7 11 22 24 ,7,10.6156
7 11 22 25 ,7.69,10.973
7 11 22 27 ,7.6825,10.0353
7 11 22 31 ,7.425,10.5267
7 11 22 32 ,7.44,10.397
7 11 22 34 ,7.1725,10.0332
7 11 22 51 ,7.5975,10.3203
7 11 22 52 ,7.5675,10.311
7 11 23 24 ,7.2225,11.2183
7 11 23 25 ,7.9125,11.4391
7 11 23 27 ,7.905,10.5167
7 11 23 28 ,7.4575,10.3208
7 11 23 29 ,7.6,10.4694
7 11 23 31 ,7.6475,11.0435
7 11 23 32 ,7.6625,10.8889
7 11 23 33 ,7.2175,10.3966
7 11 23 34 ,7.395,10.5405
7 11 23 35 ,7.24,10.3639
7 11 23 38 ,7.2475,10.1885
7 11 23 51 ,7.82,10.8463
7 11 23 52 ,7.79,10.8258
7 11 24 25 ,7.91,11.7236
7 11 24 27 ,7.9025,10.7591
7 11 24 28 ,7.455,10.6202
7 11 24 29 ,7.5975,10.7787
7 11 24 31 ,7.645,11.3148
7 11 24 32 ,7.66,11.1769
7 11 24 33 ,7.215,10.7239
7 11 24 34 ,7.3925,10.97
7 11 24 35 ,7.2375,10.7338
7 11 24 38 ,7.245,10.577
7 11 24 44 ,7.2925,10.2191
7 11 24 51 ,7.8175,11.2035
7 11 24 52 ,7.7875,11.3798
7 11 25 33 ,7.905,11.3012
7 11 25 35 ,7.9275,11.0052
7 11 25 36 ,7.6425,10.6234
7 11 25 37 ,7.685,10.0957
7 11 25 38 ,7.935,10.8724
7 11 25 44 ,7.9825,10.5425
7 11 26 31 ,7.975,10.2677
7 11 26 32 ,7.99,10.1787
7 11 27 33 ,7.8975,10.4482
7 11 27 35 ,7.92,10.1234
7 11 27 38 ,7.9275,10.0376
7 11 28 29 ,7.8325,10.481
7 11 28 31 ,7.88,11.0176
7 11 28 32 ,7.895,10.8636
7 11 28 33 ,7.45,10.1831
7 11 28 34 ,7.6275,10.1549
7 11 29 33 ,7.5925,10.3241
7 11 29 34 ,7.77,10.2642
7 11 29 35 ,7.615,10.0565
7 11 30 49 ,7.6075,10.5656
7 11 30 50 ,7.6375,10.2058
7 11 30 55 ,7.5975,10.3264
7 11 31 33 ,7.64,10.9537
7 11 31 34 ,7.8175,10.7819
7 11 31 35 ,7.6625,10.6392
7 11 31 36 ,7.3775,10.1893
7 11 31 38 ,7.67,10.4877
7 11 31 43 ,7.815,10.1967
7 11 31 44 ,7.7175,10.1171
7 11 32 33 ,7.655,10.8039
7 11 32 34 ,7.8325,10.6284
7 11 32 35 ,7.6775,10.5088
7 11 32 36 ,7.3925,10.043
7 11 32 38 ,7.685,10.3375
7 11 32 43 ,7.83,10.0876
7 11 32 44 ,7.7325,10.0284
7 11 33 34 ,7.3875,10.1698
7 11 33 51 ,7.8125,10.5846
7 11 33 52 ,7.7825,10.472
7 11 34 35 ,7.41,10.0643
7 11 34 38 ,7.4175,10.0309
7 11 34 51 ,7.99,10.5622
7 11 34 52 ,7.96,10.4924
7 11 35 51 ,7.835,10.4553
7 11 35 52 ,7.805,10.4886
7 11 38 51 ,7.8425,10.2224
7 11 38 52 ,7.8125,10.0726
7 12 22 25 ,7.68,10.5377
7 12 22 31 ,7.415,10.1245
7 12 22 51 ,7.5875,10.0291
7 12 22 52 ,7.5575,10.0341
7 12 23 24 ,7.2125,10.8372
7 12 23 25 ,7.9025,11.0107
7 12 23 27 ,7.895,10.1625
7 12 23 29 ,7.59,10.0574
7 12 23 31 ,7.6375,10.6488
7 12 23 32 ,7.6525,10.4817
7 12 23 34 ,7.385,10.1522
7 12 23 51 ,7.81,10.5576
7 12 23 52 ,7.78,10.5504
7 12 24 25 ,7.9,11.29
7 12 24 27 ,7.8925,10.3956
7 12 24 28 ,7.445,10.2576
7 12 24 29 ,7.5875,10.3614
7 12 24 31 ,7.635,10.9133
7 12 24 32 ,7.65,10.7637
7 12 24 33 ,7.205,10.3218
7 12 24 34 ,7.3825,10.5803
7 12 24 35 ,7.2275,10.3579
7 12 24 38 ,7.235,10.193
7 12 24 51 ,7.8075,10.9075
7 12 24 52 ,7.7775,11.1017
7 12 25 33 ,7.895,10.8648
7 12 25 35 ,7.9175,10.5818
7 12 25 36 ,7.6325,10.1802
7 12 25 38 ,7.925,10.4415
7 12 25 44 ,7.9725,10.0305
7 12 27 33 ,7.8875,10.0887
7 12 28 29 ,7.8225,10.1108
7 12 28 31 ,7.87,10.6612
7 12 28 32 ,7.885,10.4953
7 12 30 49 ,7.5975,10.348
7 12 30 55 ,7.5875,10.0897
7 12 31 33 ,7.63,10.5529
7 12 31 34 ,7.8075,10.3776
7 12 31 35 ,7.6525,10.2521
7 12 31 38 ,7.66,10.0927
7 12 32 33 ,7.645,10.3906
7 12 32 34 ,7.8225,10.2112
7 12 32 35 ,7.6675,10.1099
7 12 33 51 ,7.8025,10.2857
7 12 33 52 ,7.7725,10.1842
7 12 34 51 ,7.98,10.2658
7 12 34 52 ,7.95,10.2083
7 12 35 51 ,7.825,10.1789
7 12 35 52 ,7.795,10.2273
7 13 23 30 ,7.91,10.0034
7 13 24 25 ,7.27,10.0872
7 13 24 30 ,7.9075,10.2742
7 13 25 27 ,7.9525,10.0485
7 13 25 29 ,7.6475,10.0412
7 13 25 31 ,7.695,10.5099
7 13 25 32 ,7.71,10.3924
7 13 27 31 ,7.6875,10.2706
7 13 27 32 ,7.7025,10.3428
7 13 31 32 ,7.445,10.6754
7 14 22 25 ,7.24,10.0748
7 14 22 30 ,7.8775,10.1987
7 14 23 25 ,7.4625,10.4641
7 14 23 31 ,7.1975,10.0408
7 14 24 25 ,7.46,10.7194
7 14 24 31 ,7.195,10.2809
7 14 24 32 ,7.21,10.1463
7 14 24 52 ,7.3375,10.1905
7 14 25 28 ,7.695,10.598
7 14 25 29 ,7.8375,10.7945
7 14 25 31 ,7.885,11.2762
7 14 25 32 ,7.9,11.1423
7 14 25 33 ,7.455,10.4319
7 14 25 34 ,7.6325,10.2944
7 14 25 35 ,7.4775,10.0667
7 14 27 31 ,7.8775,10.975
7 14 27 32 ,7.8925,11.0179
7 14 28 31 ,7.43,10.1323
7 14 29 31 ,7.5725,10.3111
7 14 29 32 ,7.5875,10.1859
7 14 30 50 ,7.1875,10.0768
7 14 31 32 ,7.635,11.3893
7 14 31 33 ,7.19,10.0649
7 14 31 51 ,7.7925,10.456
7 14 31 52 ,7.7625,10.3244
7 14 32 51 ,7.8075,10.2964
7 14 32 52 ,7.7775,10.2695
7 14 51 52 ,7.935,10.2173
7 15 23 30 ,7.86,10.0434
7 15 24 25 ,7.22,10.1554
7 15 24 30 ,7.8575,10.318
7 15 25 27 ,7.9025,10.0794
7 15 25 29 ,7.5975,10.0915
7 15 25 31 ,7.645,10.5533
7 15 25 32 ,7.66,10.4267
7 15 25 51 ,7.8175,10.0209
7 15 27 31 ,7.6375,10.29
7 15 27 32 ,7.6525,10.3525
7 15 30 33 ,7.8525,10.0201
7 15 31 32 ,7.395,10.6984
7 16 18 30 ,7.5575,10.035
7 16 22 25 ,7.295,10.4566
7 16 22 30 ,7.9325,10.4878
7 16 23 25 ,7.5175,10.8468
7 16 23 31 ,7.2525,10.4292
7 16 23 32 ,7.2675,10.2674
7 16 24 25 ,7.515,11.0846
7 16 24 27 ,7.5075,10.0705
7 16 24 29 ,7.2025,10.0894
7 16 24 31 ,7.25,10.6515
7 16 24 32 ,7.265,10.5071
7 16 24 51 ,7.4225,10.2569
7 16 24 52 ,7.3925,10.4892
7 16 25 26 ,7.845,10.1754
7 16 25 28 ,7.75,10.9944
7 16 25 29 ,7.8925,11.1827
7 16 25 31 ,7.94,11.6723
7 16 25 32 ,7.955,11.5297
7 16 25 33 ,7.51,10.8258
7 16 25 34 ,7.6875,10.6767
7 16 25 35 ,7.5325,10.4484
7 16 25 36 ,7.2475,10.1326
7 16 25 38 ,7.54,10.3517
7 16 25 44 ,7.5875,10.0996
7 16 27 28 ,7.7425,10.1841
7 16 27 29 ,7.885,10.271
7 16 27 31 ,7.9325,11.3329
7 16 27 32 ,7.9475,11.3609
7 16 28 31 ,7.485,10.5364
7 16 28 32 ,7.5,10.3774
7 16 29 31 ,7.6275,10.7072
7 16 29 32 ,7.6425,10.5723
7 16 30 36 ,7.885,10.2281
7 16 30 49 ,7.2125,10.2436
7 16 30 50 ,7.2425,10.3491
7 16 31 32 ,7.69,11.7598
7 16 31 33 ,7.245,10.4627
7 16 31 34 ,7.4225,10.1951
7 16 31 35 ,7.2675,10.0624
7 16 31 51 ,7.8475,10.8426
7 16 31 52 ,7.8175,10.6722
7 16 32 33 ,7.26,10.3079
7 16 32 34 ,7.4375,10.0348
7 16 32 51 ,7.8625,10.6745
7 16 32 52 ,7.8325,10.6046
7 16 51 52 ,7.99,10.5379
7 17 18 25 ,7.415,10.134
7 17 18 31 ,7.15,10.0729
7 17 22 23 ,7.1025,10.2157
7 17 22 24 ,7.1,10.5324
7 17 22 25 ,7.79,11.0777
7 17 22 27 ,7.7825,10.1884
7 17 22 29 ,7.4775,10.0605
7 17 22 31 ,7.525,10.6573
7 17 22 32 ,7.54,10.5253
7 17 22 34 ,7.2725,10.002
7 17 22 51 ,7.6975,10.3227
7 17 22 52 ,7.6675,10.3531
7 17 23 24 ,7.3225,11.1011
7 17 23 28 ,7.5575,10.3173
7 17 23 29 ,7.7,10.4931
7 17 23 31 ,7.7475,11.1297
7 17 23 32 ,7.7625,10.9725
7 17 23 33 ,7.3175,10.3934
7 17 23 34 ,7.495,10.4701
7 17 23 35 ,7.34,10.3278
7 17 23 38 ,7.3475,10.1589
7 17 23 51 ,7.92,10.8092
7 17 23 52 ,7.89,10.8265
7 17 24 28 ,7.555,10.561
7 17 24 29 ,7.6975,10.7469
7 17 24 31 ,7.745,11.347
7 17 24 32 ,7.76,11.2058
7 17 24 33 ,7.315,10.6655
7 17 24 34 ,7.4925,10.8481
7 17 24 35 ,7.3375,10.6437
7 17 24 36 ,7.0525,10.2112
7 17 24 38 ,7.345,10.4923
7 17 24 44 ,7.3925,10.1718
7 17 24 51 ,7.9175,11.1145
7 17 24 52 ,7.8875,11.3284
7 17 25 36 ,7.7425,10.7503
7 17 25 37 ,7.785,10.2448
7 17 25 39 ,7.875,10.0918
7 17 25 49 ,7.07,10.3975
7 17 27 33 ,7.9975,10.6194
7 17 28 29 ,7.9325,10.5693
7 17 28 31 ,7.98,11.1652
7 17 28 32 ,7.995,11.0094
7 17 28 33 ,7.55,10.2464
7 17 28 34 ,7.7275,10.149
7 17 29 33 ,7.6925,10.4139
7 17 29 34 ,7.87,10.286
7 17 29 35 ,7.715,10.1152
7 17 30 49 ,7.7075,10.6661
7 17 30 50 ,7.7375,10.5742
7 17 30 55 ,7.6975,10.4305
7 17 31 33 ,7.74,11.1023
7 17 31 34 ,7.9175,10.8681
7 17 31 35 ,7.7625,10.7606
7 17 31 36 ,7.4775,10.3437
7 17 31 38 ,7.77,10.6177
7 17 31 43 ,7.915,10.2895
7 17 31 44 ,7.8175,10.2916
7 17 32 33 ,7.755,10.9507
7 17 32 34 ,7.9325,10.7119
7 17 32 35 ,7.7775,10.6278
7 17 32 36 ,7.4925,10.1954
7 17 32 38 ,7.785,10.4653
7 17 32 43 ,7.93,10.1772
7 17 32 44 ,7.8325,10.2003
7 17 33 34 ,7.4875,10.1642
7 17 33 35 ,7.3325,10.0262
7 17 33 51 ,7.9125,10.6111
7 17 33 52 ,7.8825,10.5377
7 17 34 35 ,7.51,10.0248
7 17 35 51 ,7.935,10.4497
7 17 35 52 ,7.905,10.5219
7 17 36 52 ,7.62,10.0196
7 17 38 51 ,7.9425,10.2236
7 17 38 52 ,7.9125,10.1145
7 18 22 25 ,7.655,11.6489
7 18 22 27 ,7.6475,10.7973
7 18 22 28 ,7.2,10.4642
7 18 22 29 ,7.3425,10.6395
7 18 22 31 ,7.39,11.3298
7 18 22 32 ,7.405,11.1527
7 18 22 34 ,7.1375,10.511
7 18 22 51 ,7.5625,10.8251
7 18 22 52 ,7.5325,10.7368
7 18 23 24 ,7.1875,11.5759
7 18 23 25 ,7.8775,12.0679
7 18 23 26 ,7.5175,10.1828
7 18 23 27 ,7.87,11.2236
7 18 23 28 ,7.4225,10.8694
7 18 23 29 ,7.565,11.0652
7 18 23 31 ,7.6125,11.79
7 18 23 32 ,7.6275,11.5907
7 18 23 33 ,7.1825,10.9312
7 18 23 34 ,7.36,10.9732
7 18 23 35 ,7.205,10.7474
7 18 23 38 ,7.2125,10.659
7 18 23 44 ,7.26,10.3211
7 18 23 51 ,7.785,11.3052
7 18 23 52 ,7.755,11.2095
7 18 24 25 ,7.875,12.318
7 18 24 26 ,7.515,10.4974
7 18 24 27 ,7.8675,11.4294
7 18 24 28 ,7.42,11.132
7 18 24 29 ,7.5625,11.3366
7 18 24 31 ,7.61,12.024
7 18 24 32 ,7.625,11.8409
7 18 24 33 ,7.18,11.2211
7 18 24 34 ,7.3575,11.3648
7 18 24 35 ,7.2025,11.0824
7 18 24 38 ,7.21,11.0086
7 18 24 43 ,7.355,10.086
7 18 24 44 ,7.2575,10.6656
7 18 24 51 ,7.7825,11.6272
7 18 24 52 ,7.7525,11.7244
7 18 25 33 ,7.87,12.0524
7 18 25 35 ,7.8925,11.634
7 18 25 36 ,7.6075,11.3292
7 18 25 37 ,7.65,10.8445
7 18 25 38 ,7.9,11.5827
7 18 25 39 ,7.74,10.6358
7 18 25 44 ,7.9475,11.2739
7 18 25 58 ,7.93,10.2089
7 18 26 28 ,7.75,10.2475
7 18 26 29 ,7.8925,10.507
7 18 26 31 ,7.94,11.1771
7 18 26 32 ,7.955,11.038
7 18 26 33 ,7.51,10.1697
7 18 26 34 ,7.6875,10.0401
7 18 27 33 ,7.8625,11.2823
7 18 27 35 ,7.885,10.8307
7 18 27 36 ,7.6,10.5045
7 18 27 37 ,7.6425,10.0903
7 18 27 38 ,7.8925,10.8298
7 18 27 39 ,7.7325,10.0609
7 18 27 44 ,7.94,10.4977
7 18 28 29 ,7.7975,11.21
7 18 28 31 ,7.845,11.8918
7 18 28 32 ,7.86,11.6951
7 18 28 33 ,7.415,10.8664
7 18 28 34 ,7.5925,10.743
7 18 28 35 ,7.4375,10.4546
7 18 28 36 ,7.1525,10.146
7 18 28 38 ,7.445,10.4771
7 18 28 44 ,7.4925,10.07
7 18 28 52 ,7.9875,10.9706
7 18 29 31 ,7.9875,12.0669
7 18 29 33 ,7.5575,11.0533
7 18 29 34 ,7.735,10.9018
7 18 29 35 ,7.58,10.6497
7 18 29 36 ,7.295,10.3203
7 18 29 38 ,7.5875,10.6018
7 18 29 43 ,7.7325,10.0558
7 18 29 44 ,7.635,10.2882
7 18 30 48 ,7.93,10.523
7 18 30 49 ,7.5725,11.2292
7 18 30 50 ,7.6025,11.0677
7 18 30 54 ,7.575,10.2037
7 18 30 55 ,7.5625,10.8938
7 18 31 33 ,7.605,11.8231
7 18 31 34 ,7.7825,11.5742
7 18 31 35 ,7.6275,11.3882
7 18 31 36 ,7.3425,11.0263
7 18 31 37 ,7.385,10.5815
7 18 31 38 ,7.635,11.3227
7 18 31 39 ,7.475,10.5206
7 18 31 42 ,7.3575,10.0542
7 18 31 43 ,7.78,11.0058
7 18 31 44 ,7.6825,10.9806
7 18 31 58 ,7.665,10.2231
7 18 32 33 ,7.62,11.6301
7 18 32 34 ,7.7975,11.3756
7 18 32 35 ,7.6425,11.2101
7 18 32 36 ,7.3575,10.8328
7 18 32 37 ,7.4,10.3914
7 18 32 38 ,7.65,11.1268
7 18 32 39 ,7.49,10.3645
7 18 32 43 ,7.795,10.8465
7 18 32 44 ,7.6975,10.8406
7 18 33 34 ,7.3525,10.7468
7 18 33 35 ,7.1975,10.5244
7 18 33 38 ,7.205,10.4256
7 18 33 44 ,7.2525,10.1041
7 18 33 51 ,7.7775,11.1785
7 18 33 52 ,7.7475,10.9944
7 18 34 35 ,7.375,10.4906
7 18 34 36 ,7.09,10.1936
7 18 34 38 ,7.3825,10.5401
7 18 34 44 ,7.43,10.1581
7 18 34 51 ,7.955,11.0631
7 18 34 52 ,7.925,10.9183
7 18 35 38 ,7.2275,10.1658
7 18 35 51 ,7.8,10.9056
7 18 35 52 ,7.77,10.859
7 18 36 51 ,7.515,10.5067
7 18 36 52 ,7.485,10.406
7 18 37 51 ,7.5575,10.0081
7 18 38 51 ,7.8075,10.7623
7 18 38 52 ,7.7775,10.5392
7 18 43 51 ,7.9525,10.3773
7 18 43 52 ,7.9225,10.0242
7 18 44 51 ,7.855,10.302
7 18 44 52 ,7.825,10.0706
7 19 22 23 ,7.065,10.0257
7 19 22 24 ,7.0625,10.3469
7 19 22 25 ,7.7525,10.8592
7 19 22 27 ,7.745,10.0805
7 19 22 31 ,7.4875,10.5019
7 19 22 32 ,7.5025,10.3813
7 19 22 51 ,7.66,10.2056
7 19 22 52 ,7.63,10.2229
7 19 23 24 ,7.285,10.9265
7 19 23 25 ,7.975,11.2933
7 19 23 27 ,7.9675,10.5205
7 19 23 28 ,7.52,10.151
7 19 23 29 ,7.6625,10.306
7 19 23 31 ,7.71,10.9821
7 19 23 32 ,7.725,10.8356
7 19 23 33 ,7.28,10.2092
7 19 23 34 ,7.4575,10.2915
7 19 23 35 ,7.3025,10.1281
7 19 23 51 ,7.8825,10.6985
7 19 23 52 ,7.8525,10.7032
7 19 24 25 ,7.9725,11.5292
7 19 24 27 ,7.965,10.7065
7 19 24 28 ,7.5175,10.3974
7 19 24 29 ,7.66,10.5631
7 19 24 31 ,7.7075,11.2011
7 19 24 32 ,7.7225,11.0706
7 19 24 33 ,7.2775,10.4849
7 19 24 34 ,7.455,10.6746
7 19 24 35 ,7.3,10.4487
7 19 24 36 ,7.015,10.009
7 19 24 38 ,7.3075,10.2982
7 19 24 51 ,7.88,11.0058
7 19 24 52 ,7.85,11.2095
7 19 25 33 ,7.9675,11.2158
7 19 25 35 ,7.99,10.873
7 19 25 36 ,7.705,10.5147
7 19 25 38 ,7.9975,10.7488
7 19 25 49 ,7.0325,10.2233
7 19 27 33 ,7.96,10.5183
7 19 27 35 ,7.9825,10.1481
7 19 27 38 ,7.99,10.0734
7 19 28 29 ,7.895,10.4036
7 19 28 31 ,7.9425,11.0369
7 19 28 32 ,7.9575,10.8921
7 19 28 33 ,7.5125,10.0802
7 19 29 33 ,7.655,10.2266
7 19 29 34 ,7.8325,10.1007
7 19 30 49 ,7.67,10.6671
7 19 30 50 ,7.7,10.5496
7 19 30 55 ,7.66,10.427
7 19 31 33 ,7.7025,10.9554
7 19 31 34 ,7.88,10.7221
7 19 31 35 ,7.725,10.5953
7 19 31 36 ,7.44,10.1727
7 19 31 38 ,7.7325,10.4537
7 19 31 43 ,7.8775,10.2236
7 19 31 44 ,7.78,10.0967
7 19 32 33 ,7.7175,10.8147
7 19 32 34 ,7.895,10.5769
7 19 32 35 ,7.74,10.4737
7 19 32 36 ,7.455,10.0358
7 19 32 38 ,7.7475,10.3124
7 19 32 43 ,7.8925,10.1244
7 19 32 44 ,7.795,10.0175
7 19 33 51 ,7.875,10.4996
7 19 33 52 ,7.845,10.4122
7 19 35 51 ,7.8975,10.3223
7 19 35 52 ,7.8675,10.3822
7 19 38 51 ,7.905,10.0972
7 20 23 25 ,7.2225,10.0208
7 20 23 30 ,7.86,10.1618
7 20 24 25 ,7.22,10.3034
7 20 24 30 ,7.8575,10.4344
7 20 24 52 ,7.0975,10.0485
7 20 25 27 ,7.9025,10.2981
7 20 25 28 ,7.455,10.0963
7 20 25 29 ,7.5975,10.2542
7 20 25 31 ,7.645,10.7226
7 20 25 32 ,7.66,10.5973
7 20 25 51 ,7.8175,10.2513
7 20 25 52 ,7.7875,10.0829
7 20 27 31 ,7.6375,10.5049
7 20 27 32 ,7.6525,10.5655
7 20 30 33 ,7.8525,10.1343
7 20 31 32 ,7.395,10.8654
7 20 31 51 ,7.5525,10.0986
7 20 31 52 ,7.5225,10.0143
7 20 51 52 ,7.695,10.1358
7 21 22 25 ,7.5175,10.1464
7 21 23 24 ,7.05,10.3066
7 21 23 25 ,7.74,10.5714
7 21 23 31 ,7.475,10.2406
7 21 23 32 ,7.49,10.0996
7 21 23 51 ,7.6475,10.0812
7 21 23 52 ,7.6175,10.1705
7 21 24 25 ,7.7375,10.8047
7 21 24 31 ,7.4725,10.4561
7 21 24 32 ,7.4875,10.3321
7 21 24 34 ,7.22,10.0344
7 21 24 51 ,7.645,10.3875
7 21 24 52 ,7.615,10.6834
7 21 25 28 ,7.9725,10.678
7 21 25 33 ,7.7325,10.4652
7 21 25 34 ,7.91,10.3528
7 21 25 35 ,7.755,10.1892
7 21 25 38 ,7.7625,10.0213
7 21 27 28 ,7.965,10.0463
7 21 28 31 ,7.7075,10.3034
7 21 28 32 ,7.7225,10.1644
7 21 28 51 ,7.88,10.0058
7 21 29 31 ,7.85,10.3877
7 21 29 32 ,7.865,10.2719
7 21 30 49 ,7.435,10.083
7 21 31 32 ,7.9125,11.5122
7 21 31 33 ,7.4675,10.1879
7 21 32 33 ,7.4825,10.0527
7 22 23 24 ,7.5625,13.425
7 22 23 26 ,7.8925,11.7137
7 22 23 28 ,7.7975,12.4622
7 22 23 29 ,7.94,12.6154
7 22 23 31 ,7.9875,13.0413
7 22 23 33 ,7.5575,12.6112
7 22 23 34 ,7.735,12.7981
7 22 23 35 ,7.58,12.6156
7 22 23 36 ,7.295,12.1958
7 22 23 37 ,7.3375,11.6242
7 22 23 38 ,7.5875,12.4177
7 22 23 39 ,7.4275,11.2327
7 22 23 42 ,7.31,10.529
7 22 23 43 ,7.7325,11.3658
7 22 23 44 ,7.635,11.9499
7 22 23 46 ,7.14,10.1439
7 22 23 58 ,7.6175,10.9519
7 22 24 26 ,7.89,12.0759
7 22 24 28 ,7.795,12.7747
7 22 24 29 ,7.9375,12.9359
7 22 24 31 ,7.985,13.3326
7 22 24 32 ,8,13.178
7 22 24 33 ,7.555,12.945
7 22 24 34 ,7.7325,13.2155
7 22 24 35 ,7.5775,12.9837
7 22 24 36 ,7.2925,12.5673
7 22 24 37 ,7.335,11.9838
7 22 24 38 ,7.585,12.8017
7 22 24 39 ,7.425,11.6086
7 22 24 40 ,7.2975,10.1931
7 22 24 42 ,7.3075,10.8544
7 22 24 43 ,7.73,11.6575
7 22 24 44 ,7.6325,12.3345
7 22 24 46 ,7.1375,10.4896
7 22 24 58 ,7.615,11.3083
7 22 25 36 ,7.9825,12.8273
7 22 25 40 ,7.9875,10.3889
7 22 25 42 ,7.9975,11.1593
7 22 25 45 ,7.6275,10.0315
7 22 25 46 ,7.8275,11.0257
7 22 25 48 ,7.6675,10.992
7 22 25 49 ,7.31,12.1282
7 22 25 50 ,7.34,10.551
7 22 25 53 ,7.2725,10.3376
7 22 25 54 ,7.3125,11.0232
7 22 25 55 ,7.3,11.7927
7 22 25 56 ,7.2475,10.3673
7 22 26 33 ,7.885,11.5054
7 22 26 35 ,7.9075,11.3534
7 22 26 36 ,7.6225,10.9635
7 22 26 37 ,7.665,10.3876
7 22 26 38 ,7.915,11.1683
7 22 26 39 ,7.755,10.1142
7 22 26 44 ,7.9625,10.7164
7 22 27 36 ,7.975,11.6954
7 22 27 42 ,7.99,10.4351
7 22 27 46 ,7.82,10.2215
7 22 27 48 ,7.66,10.1288
7 22 27 49 ,7.3025,11.3014
7 22 27 50 ,7.3325,10.0115
7 22 27 54 ,7.305,10.0686
7 22 27 55 ,7.2925,10.8908
7 22 28 33 ,7.79,12.2749
7 22 28 34 ,7.9675,12.3222
7 22 28 35 ,7.8125,12.0825
7 22 28 36 ,7.5275,11.7184
7 22 28 37 ,7.57,11.1525
7 22 28 38 ,7.82,11.9749
7 22 28 39 ,7.66,10.8007
7 22 28 42 ,7.5425,10.2455
7 22 28 43 ,7.965,11.1779
7 22 28 44 ,7.8675,11.4333
7 22 28 58 ,7.85,10.5509
7 22 29 33 ,7.9325,12.4224
7 22 29 35 ,7.955,12.2333
7 22 29 36 ,7.67,11.8505
7 22 29 37 ,7.7125,11.2837
7 22 29 38 ,7.9625,12.0653
7 22 29 39 ,7.8025,10.9663
7 22 29 42 ,7.685,10.2527
7 22 29 46 ,7.515,10.016
7 22 29 54 ,7,10.0388
7 22 29 58 ,7.9925,10.5825
7 22 30 49 ,7.9475,11.9115
7 22 30 50 ,7.9775,11.1903
7 22 30 53 ,7.91,10.581
7 22 30 54 ,7.95,11.0823
7 22 30 55 ,7.9375,11.8196
7 22 30 56 ,7.885,10.5807
7 22 30 57 ,7.58,10.0587
7 22 31 33 ,7.98,12.8953
7 22 31 36 ,7.7175,12.242
7 22 31 37 ,7.76,11.6831
7 22 31 39 ,7.85,11.5065
7 22 31 40 ,7.7225,10.0502
7 22 31 42 ,7.7325,10.9752
7 22 31 46 ,7.5625,10.6375
7 22 31 48 ,7.4025,10.5049
7 22 31 49 ,7.045,11.8946
7 22 31 50 ,7.075,10.439
7 22 31 54 ,7.0475,10.5671
7 22 31 55 ,7.035,11.4008
7 22 32 33 ,7.995,12.7291
7 22 32 36 ,7.7325,12.0792
7 22 32 37 ,7.775,11.5229
7 22 32 39 ,7.865,11.3759
7 22 32 42 ,7.7475,10.8071
7 22 32 46 ,7.5775,10.4592
7 22 32 48 ,7.4175,10.3553
7 22 32 49 ,7.06,11.6325
7 22 32 50 ,7.09,10.2672
7 22 32 54 ,7.0625,10.4173
7 22 32 55 ,7.05,11.2449
7 22 33 34 ,7.7275,12.422
7 22 33 35 ,7.5725,12.2409
7 22 33 36 ,7.2875,11.8374
7 22 33 37 ,7.33,11.2556
7 22 33 38 ,7.58,12.0295
7 22 33 39 ,7.42,10.8991
7 22 33 42 ,7.3025,10.2346
7 22 33 43 ,7.725,11.1016
7 22 33 44 ,7.6275,11.5672
7 22 33 58 ,7.61,10.5457
7 22 34 35 ,7.75,12.3678
7 22 34 36 ,7.465,12.0212
7 22 34 37 ,7.5075,11.462
7 22 34 38 ,7.7575,12.2858
7 22 34 39 ,7.5975,10.9764
7 22 34 42 ,7.48,10.3186
7 22 34 43 ,7.9025,11.1503
7 22 34 44 ,7.805,11.7781
7 22 34 58 ,7.7875,10.7252
7 22 35 36 ,7.31,11.8401
7 22 35 37 ,7.3525,11.2456
7 22 35 38 ,7.6025,11.9773
7 22 35 39 ,7.4425,10.878
7 22 35 42 ,7.325,10.1731
7 22 35 43 ,7.7475,10.9764
7 22 35 44 ,7.65,11.5429
7 22 35 58 ,7.6325,10.5623
7 22 36 37 ,7.0675,10.8877
7 22 36 38 ,7.3175,11.6428
7 22 36 39 ,7.1575,10.411
7 22 36 41 ,7.795,10.2136
7 22 36 43 ,7.4625,10.5492
7 22 36 44 ,7.365,11.1787
7 22 36 51 ,7.89,12.1049
7 22 36 52 ,7.86,12.0838
7 22 36 58 ,7.3475,10.1075
7 22 37 38 ,7.36,11.1422
7 22 37 43 ,7.505,10.061
7 22 37 44 ,7.4075,10.723
7 22 37 51 ,7.9325,11.5126
7 22 37 52 ,7.9025,11.4512
7 22 38 39 ,7.45,10.5894
