Assets,Return,Volatility
0 9 31 34 ,7.27,10.0001
0 9 31 51 ,7.695,10.7715
0 9 31 52 ,7.665,10.6129
0 9 32 33 ,7.1075,10.0975
0 9 32 51 ,7.71,10.6287
0 9 32 52 ,7.68,10.5714
0 9 51 52 ,7.8375,10.6849
0 10 17 30 ,7.69,10.0639
0 10 18 30 ,7.555,10.3985
0 10 19 30 ,7.6525,10.0325
0 10 22 25 ,7.2925,10.8818
0 10 22 27 ,7.285,10.0709
0 10 22 30 ,7.93,11.0073
0 10 22 31 ,7.0275,10.4821
0 10 22 32 ,7.0425,10.39
0 10 22 51 ,7.2,10.0173
0 10 22 52 ,7.17,10.045
0 10 23 25 ,7.515,11.3088
0 10 23 27 ,7.5075,10.5047
0 10 23 28 ,7.06,10.1833
0 10 23 29 ,7.2025,10.3635
0 10 23 31 ,7.25,10.9569
0 10 23 32 ,7.265,10.8375
0 10 23 51 ,7.4225,10.5124
0 10 23 52 ,7.3925,10.5268
0 10 24 25 ,7.5125,11.519
0 10 24 27 ,7.505,10.6636
0 10 24 28 ,7.0575,10.4008
0 10 24 29 ,7.2,10.5916
0 10 24 31 ,7.2475,11.1501
0 10 24 32 ,7.2625,11.046
0 10 24 51 ,7.42,10.7979
0 10 24 52 ,7.39,11.0147
0 10 25 26 ,7.8425,10.5889
0 10 25 28 ,7.7475,11.3472
0 10 25 29 ,7.89,11.5287
0 10 25 31 ,7.9375,12.0243
0 10 25 32 ,7.9525,11.9173
0 10 25 33 ,7.5075,11.2148
0 10 25 34 ,7.685,11.0714
0 10 25 35 ,7.53,10.9207
0 10 25 36 ,7.245,10.5536
0 10 25 37 ,7.2875,10.0458
0 10 25 38 ,7.5375,10.7776
0 10 25 43 ,7.6825,10.1197
0 10 25 44 ,7.585,10.5721
0 10 26 27 ,7.835,10.0146
0 10 26 31 ,7.5775,10.2979
0 10 26 32 ,7.5925,10.2478
0 10 27 28 ,7.74,10.6806
0 10 27 29 ,7.8825,10.7624
0 10 27 31 ,7.93,11.8005
0 10 27 32 ,7.945,11.859
0 10 27 33 ,7.5,10.4847
0 10 27 34 ,7.6775,10.2296
0 10 27 35 ,7.5225,10.1656
0 10 27 38 ,7.53,10.0702
0 10 28 29 ,7.435,10.3977
0 10 28 31 ,7.4825,10.9521
0 10 28 32 ,7.4975,10.8337
0 10 28 33 ,7.0525,10.0942
0 10 28 51 ,7.655,10.3731
0 10 28 52 ,7.625,10.1489
0 10 29 31 ,7.625,11.1154
0 10 29 32 ,7.64,11.0194
0 10 29 33 ,7.195,10.2663
0 10 29 34 ,7.3725,10.1181
0 10 29 35 ,7.2175,10.0018
0 10 29 51 ,7.7975,10.456
0 10 29 52 ,7.7675,10.2862
0 10 30 36 ,7.8825,10.7434
0 10 30 37 ,7.925,10.3095
0 10 30 42 ,7.8975,10.2062
0 10 30 49 ,7.21,10.5427
0 10 30 50 ,7.24,10.556
0 10 30 55 ,7.2,10.3477
0 10 31 32 ,7.6875,12.1833
0 10 31 33 ,7.2425,10.9129
0 10 31 34 ,7.42,10.6571
0 10 31 35 ,7.265,10.6016
0 10 31 38 ,7.2725,10.44
0 10 31 43 ,7.4175,10.0736
0 10 31 44 ,7.32,10.1997
0 10 31 51 ,7.845,11.2905
0 10 31 52 ,7.815,11.1228
0 10 32 33 ,7.2575,10.7992
0 10 32 34 ,7.435,10.5393
0 10 32 35 ,7.28,10.5085
0 10 32 38 ,7.2875,10.3274
0 10 32 43 ,7.4325,10.0028
0 10 32 44 ,7.335,10.1508
0 10 32 51 ,7.86,11.1626
0 10 32 52 ,7.83,11.0917
0 10 33 51 ,7.415,10.2917
0 10 33 52 ,7.385,10.2125
0 10 34 51 ,7.5925,10.1813
0 10 34 52 ,7.5625,10.1457
0 10 35 51 ,7.4375,10.1632
0 10 35 52 ,7.4075,10.234
0 10 51 52 ,7.9875,11.0177
0 11 18 30 ,7.6025,10.0816
0 11 22 25 ,7.34,10.8999
0 11 22 30 ,7.9775,10.9107
0 11 22 31 ,7.075,10.4523
0 11 22 32 ,7.09,10.3084
0 11 22 51 ,7.2475,10.3116
0 11 22 52 ,7.2175,10.2742
0 11 23 25 ,7.5625,11.3708
0 11 23 27 ,7.555,10.4411
0 11 23 28 ,7.1075,10.2825
0 11 23 29 ,7.25,10.4054
0 11 23 31 ,7.2975,10.9745
0 11 23 32 ,7.3125,10.8062
0 11 23 34 ,7.045,10.4954
0 11 23 51 ,7.47,10.8399
0 11 23 52 ,7.44,10.7927
0 11 24 25 ,7.56,11.6612
0 11 24 27 ,7.5525,10.6897
0 11 24 28 ,7.105,10.5876
0 11 24 29 ,7.2475,10.7211
0 11 24 31 ,7.295,11.2518
0 11 24 32 ,7.31,11.1008
0 11 24 34 ,7.0425,10.9312
0 11 24 51 ,7.4675,11.2016
0 11 24 52 ,7.4375,11.3526
0 11 25 26 ,7.89,10.5098
0 11 25 28 ,7.795,11.3915
0 11 25 29 ,7.9375,11.5221
0 11 25 31 ,7.985,11.9978
0 11 25 32 ,8,11.8457
0 11 25 33 ,7.555,11.2198
0 11 25 34 ,7.7325,11.1651
0 11 25 35 ,7.5775,10.935
0 11 25 36 ,7.2925,10.5463
0 11 25 37 ,7.335,10.015
0 11 25 38 ,7.585,10.7988
0 11 25 43 ,7.73,10.2655
0 11 25 44 ,7.6325,10.4561
0 11 26 31 ,7.625,10.1666
0 11 26 32 ,7.64,10.0631
0 11 27 28 ,7.7875,10.5993
0 11 27 29 ,7.93,10.6272
0 11 27 31 ,7.9775,11.6566
0 11 27 32 ,7.9925,11.6704
0 11 27 33 ,7.5475,10.3586
0 11 27 34 ,7.725,10.1976
0 11 27 35 ,7.57,10.0456
0 11 28 29 ,7.4825,10.4204
0 11 28 31 ,7.53,10.9515
0 11 28 32 ,7.545,10.784
0 11 28 33 ,7.1,10.1306
0 11 28 34 ,7.2775,10.1115
0 11 28 51 ,7.7025,10.6862
0 11 28 52 ,7.6725,10.4053
0 11 29 31 ,7.6725,11.0625
0 11 29 32 ,7.6875,10.9175
0 11 29 33 ,7.2425,10.2456
0 11 29 34 ,7.42,10.1944
0 11 29 51 ,7.845,10.7127
0 11 29 52 ,7.815,10.484
0 11 30 36 ,7.93,10.6185
0 11 30 37 ,7.9725,10.1565
0 11 30 42 ,7.945,10.2832
0 11 30 49 ,7.2575,10.5407
0 11 30 50 ,7.2875,10.0755
0 11 30 55 ,7.2475,10.2527
0 11 31 32 ,7.735,12.0711
0 11 31 33 ,7.29,10.8713
0 11 31 34 ,7.4675,10.707
0 11 31 35 ,7.3125,10.5682
0 11 31 36 ,7.0275,10.1107
0 11 31 38 ,7.32,10.4131
0 11 31 43 ,7.465,10.17
0 11 31 44 ,7.3675,10.0287
0 11 31 51 ,7.8925,11.5076
0 11 31 52 ,7.8625,11.2846
0 11 32 33 ,7.305,10.7076
0 11 32 34 ,7.4825,10.5394
0 11 32 35 ,7.3275,10.424
0 11 32 38 ,7.335,10.2485
0 11 32 43 ,7.48,10.0471
0 11 32 51 ,7.9075,11.3353
0 11 32 52 ,7.8775,11.2066
0 11 33 34 ,7.0375,10.1094
0 11 33 51 ,7.4625,10.5649
0 11 33 52 ,7.4325,10.4244
0 11 34 35 ,7.06,10.0179
0 11 34 51 ,7.64,10.5513
0 11 34 52 ,7.61,10.4538
0 11 35 51 ,7.485,10.4494
0 11 35 52 ,7.455,10.4551
0 11 38 51 ,7.4925,10.2136
0 11 38 52 ,7.4625,10.035
0 12 22 25 ,7.33,10.4995
0 12 22 30 ,7.9675,10.6406
0 12 22 31 ,7.065,10.0864
0 12 22 51 ,7.2375,10.0596
0 12 22 52 ,7.2075,10.0358
0 12 23 25 ,7.5525,10.976
0 12 23 27 ,7.545,10.1234
0 12 23 29 ,7.24,10.0303
0 12 23 31 ,7.2875,10.6146
0 12 23 32 ,7.3025,10.4338
0 12 23 34 ,7.035,10.1445
0 12 23 51 ,7.46,10.5885
0 12 23 52 ,7.43,10.554
0 12 24 25 ,7.55,11.2604
0 12 24 27 ,7.5425,10.3621
0 12 24 28 ,7.095,10.2626
0 12 24 29 ,7.2375,10.3399
0 12 24 31 ,7.285,10.8844
0 12 24 32 ,7.3,10.7217
0 12 24 34 ,7.0325,10.5776
0 12 24 51 ,7.4575,10.9419
0 12 24 52 ,7.4275,11.1095
0 12 25 26 ,7.88,10.0956
0 12 25 28 ,7.785,11.0353
0 12 25 29 ,7.9275,11.1138
0 12 25 31 ,7.975,11.6018
0 12 25 32 ,7.99,11.4384
0 12 25 33 ,7.545,10.8167
0 12 25 34 ,7.7225,10.763
0 12 25 35 ,7.5675,10.5464
0 12 25 36 ,7.2825,10.1388
0 12 25 38 ,7.575,10.403
0 12 27 28 ,7.7775,10.327
0 12 27 29 ,7.92,10.295
0 12 27 31 ,7.9675,11.3501
0 12 27 32 ,7.9825,11.358
0 12 27 33 ,7.5375,10.0354
0 12 28 29 ,7.4725,10.0873
0 12 28 31 ,7.52,10.6302
0 12 28 32 ,7.535,10.4508
0 12 28 51 ,7.6925,10.471
0 12 28 52 ,7.6625,10.1985
0 12 29 31 ,7.6625,10.6861
0 12 29 32 ,7.6775,10.5292
0 12 29 51 ,7.835,10.4382
0 12 29 52 ,7.805,10.2177
0 12 30 36 ,7.92,10.3476
0 12 30 42 ,7.935,10.1569
0 12 30 49 ,7.2475,10.3609
0 12 30 55 ,7.2375,10.0537
0 12 31 32 ,7.725,11.7167
0 12 31 33 ,7.28,10.5051
0 12 31 34 ,7.4575,10.3381
0 12 31 35 ,7.3025,10.2174
0 12 31 38 ,7.31,10.0546
0 12 31 51 ,7.8825,11.2479
0 12 31 52 ,7.8525,11.033
0 12 32 33 ,7.295,10.3288
0 12 32 34 ,7.4725,10.1575
0 12 32 35 ,7.3175,10.0611
0 12 32 51 ,7.8975,11.0653
0 12 32 52 ,7.8675,10.9467
0 12 33 51 ,7.4525,10.3039
0 12 33 52 ,7.4225,10.1742
0 12 34 51 ,7.63,10.2931
0 12 34 52 ,7.6,10.2075
0 12 35 51 ,7.475,10.2117
0 12 35 52 ,7.445,10.2318
0 13 24 30 ,7.5575,10.1877
0 13 25 31 ,7.345,10.3888
0 13 25 32 ,7.36,10.2567
0 13 27 31 ,7.3375,10.1452
0 13 27 32 ,7.3525,10.205
0 13 29 30 ,7.935,10.0228
0 13 30 31 ,7.9825,11.232
0 13 30 32 ,7.9975,11.3608
0 13 31 32 ,7.095,10.545
0 14 22 30 ,7.5275,10.0815
0 14 23 25 ,7.1125,10.3519
0 14 23 30 ,7.75,10.3685
0 14 24 25 ,7.11,10.6144
0 14 24 30 ,7.7475,10.6246
